timestamp,indication_counter,latency_us,ue1_ngap_id,ue1_ran_ue_id,ue1_prb_dl,ue1_prb_ul,ue1_pdcp_dl_kb,ue1_pdcp_ul_kb,ue1_delay_us,ue1_thp_dl_kbps,ue1_thp_ul_kbps,ue1_is_burst,ue1_prb_allocation,ue2_ngap_id,ue2_ran_ue_id,ue2_prb_dl,ue2_prb_ul,ue2_pdcp_dl_kb,ue2_pdcp_ul_kb,ue2_delay_us,ue2_thp_dl_kbps,ue2_thp_ul_kbps,ue2_is_burst,ue2_prb_allocation,rc_drb_id,rc_qfi,rc_mapping_ind
1.76159E+15,155,1.76159E+15,21,1,180,8689,3,1963,0,4.37,1977.22,0,23,22,2,150,16205,3,8115,628,4.18,8158.47,0,97,5,9,1
1.76159E+15,156,1.76159E+15,21,1,180,8906,3,2116,0,4.32,2131.78,0,25,22,2,155,17049,3,8280,388,4.22,8334.01,0,100,5,9,1
1.76159E+15,157,1.76159E+15,21,1,205,8662,3,1987,0,4.44,1997.85,0,23,22,2,145,16210,3,8020,0,4.2,8063.11,0,96,5,9,1
1.76159E+15,158,1.76159E+15,21,1,180,8608,3,2057,0,4.34,2069.1,0,24,22,2,165,16789,3,8280,0,4.25,8322.66,0,99,5,9,1
1.76159E+15,159,1.76159E+15,21,1,180,8882,3,2046,0,4.32,2058.97,0,24,22,2,150,16695,3,8150,0,4.18,8196.82,0,98,5,9,1
1.76159E+15,160,1.76159E+15,21,1,180,9237,3,2081,0,4.32,2094.66,0,25,22,2,165,16875,3,7997,0,4.27,8032.89,0,96,5,9,1
1.76159E+15,161,1.76159E+15,21,1,165,8526,3,1998,0,4.27,2011.46,0,24,22,2,160,17334,3,8316,0,4.22,8362.1,0,100,5,9,1
1.76159E+15,162,1.76159E+15,21,1,175,9050,3,2081,220,4.3,2094.74,0,25,22,2,155,16105,3,7973,635,4.2,8013.31,0,96,5,9,1
1.76159E+15,163,1.76159E+15,21,1,175,8579,3,1998,0,4.32,2011.54,0,24,22,2,150,16517,3,8186,332,4.2,8235,0,98,5,9,1
1.76159E+15,164,1.76159E+15,21,1,190,8951,3,2081,0,4.37,2094.5,0,25,22,2,160,17029,3,8304,0,4.22,8342.7,0,100,5,9,1
1.76159E+15,165,1.76159E+15,21,1,175,8779,3,1998,0,4.3,2011.58,0,24,22,2,165,16167,3,8115,0,4.25,8158.55,0,97,5,9,1
1.76159E+15,166,1.76159E+15,21,1,170,9227,3,2081,0,4.32,2106.51,0,25,22,2,145,16539,3,8103,0,4.18,8155.38,0,97,5,9,1
1.76159E+15,167,1.76159E+15,21,1,180,8923,3,1987,0,4.32,1988.58,0,23,22,2,155,15603,3,8221,0,4.2,8266.38,0,99,5,9,1
1.76159E+15,168,1.76159E+15,21,1,165,9038,3,2105,0,4.25,2120.9,0,25,22,2,140,15954,3,8209,367,4.15,8245.41,0,98,5,9,1
1.76159E+15,169,1.76159E+15,21,1,170,8685,3,2022,189,4.34,2032.05,0,24,22,2,155,16748,3,8209,583,4.22,8252.55,0,99,5,9,1
1.76159E+15,170,1.76159E+15,21,1,185,8979,3,2046,360,4.34,2070.77,0,24,22,2,160,16744,2,7961,0,3.53,8013.64,0,96,5,9,1
1.76159E+15,171,1.76159E+15,21,1,175,8829,2,2021,0,3.6,2022.79,0,24,22,2,160,15737,3,8280,0,4.25,8322.11,0,99,5,9,1
1.76159E+15,172,1.76159E+15,21,1,175,9084,4,2070,274,5.02,2095.32,0,25,22,2,150,16632,4,8163,231,4.87,8200.21,0,98,5,9,1
1.76159E+15,173,1.76159E+15,21,1,175,8688,3,1998,651,4.3,1999.77,0,23,22,2,160,16389,3,8198,449,4.22,8241.18,0,98,5,9,1
1.76159E+15,174,1.76159E+15,21,1,190,9114,3,2081,339,4.37,2097.58,0,25,22,2,160,16177,3,8056,601,4.25,8100.58,0,97,5,9,1
1.76159E+15,175,1.76159E+15,21,1,175,8698,3,2010,591,4.34,2021.02,0,24,22,2,150,16599,3,8174,707,4.2,8224.46,0,98,5,9,1
1.76159E+15,176,1.76159E+15,21,1,180,9005,3,2069,0,4.34,2081.85,0,24,22,2,160,16693,3,8268,0,4.25,8314.95,0,99,5,9,1
1.76159E+15,177,1.76159E+15,21,1,175,9063,3,2022,0,4.32,2047.06,0,24,22,2,150,15880,3,8091,0,4.2,8124.57,0,97,5,9,1
1.76159E+15,178,1.76159E+15,21,1,180,9134,3,2069,0,4.34,2082.9,0,24,22,2,160,16317,3,8257,0,4.22,8300.95,0,99,5,9,1
1.76159E+15,179,1.76159E+15,21,1,180,8655,3,2022,0,4.32,2023.4,0,24,22,2,165,16780,3,8139,0,4.25,8182.58,0,98,5,9,1
1.76159E+15,180,1.76159E+15,21,1,180,8939,3,2022,0,4.32,2036.13,0,24,22,2,160,15931,3,8127,0,4.25,8178.44,0,98,5,9,1
